jersey_number,ratio_peak_speed,minutes_remaining,last15_passes_top_third,runs_per_minute_played,cumul_sprints,minute_out,formation_offensiveness,ratio_passes_top_third,top_third_press_share_above_team_avg,is_home_int,pos_D,pos_M
9.0,3.0,21.0,1.0,0.8222222222222222,9.0,66.0,17.0,1.0,0.0163915704022655,0,0,0
10.0,2.846685082872928,14.0,11.0,0.3333333333333333,1.0,59.0,17.0,1.0,-0.2693227153120201,0,0,1
16.0,2.8774038461538463,21.0,13.0,0.4444444444444444,7.0,66.0,17.0,1.0,-0.2693227153120201,0,0,1
18.0,2.4517937219730945,1.0,4.0,0.3555555555555555,8.0,46.0,17.0,1.0,0.0034045574152525,0,1,0
2.0,3.5578673602080624,30.0,3.0,0.4222222222222222,4.0,90.0,17.0,1.0,0.3021058561165513,1,1,0
4.0,3.343493552168816,30.0,3.0,0.3555555555555555,4.0,90.0,17.0,1.0,-0.0693227153120201,1,1,0
5.0,3.683982683982684,30.0,11.0,0.6666666666666666,5.0,90.0,17.0,1.0,-0.2693227153120201,1,1,0
6.0,3.9030303030303033,15.0,3.0,0.6222222222222222,10.0,75.0,17.0,1.0,0.3189125788056269,1,0,0
7.0,4.0,27.0,5.0,0.5111111111111111,11.0,87.0,17.0,1.0,0.3306772846879798,1,0,1
10.0,3.3839383938393843,30.0,2.0,0.6444444444444445,4.0,90.0,17.0,1.0,0.1751217291324243,1,0,1
15.0,3.781376518218623,20.0,4.0,0.0333333333333333,16.0,80.0,17.0,1.0,0.0,1,0,1
18.0,4.0,27.0,4.0,0.35,4.0,87.0,17.0,1.0,-0.2963916475681181,1,0,1
21.0,3.4994311717861213,30.0,5.0,0.3333333333333333,7.0,90.0,17.0,1.0,0.1036083524318818,1,1,0
22.0,3.838523644752019,20.0,7.0,0.3666666666666666,3.0,80.0,17.0,1.0,0.0369416857652151,1,0,1
2.0,3.7426160337552736,30.0,12.0,0.7833333333333333,16.0,90.0,17.0,1.0,-0.0741694253458959,0,1,0
3.0,3.832946635730859,30.0,1.0,0.7166666666666667,4.0,90.0,17.0,1.0,0.060751209574739,0,1,0
5.0,3.7110834371108345,30.0,0.0,0.5833333333333334,5.0,90.0,17.0,0.0,0.1321797810033104,0,1,0
6.0,2.930917327293318,30.0,22.0,0.9166666666666666,4.0,90.0,17.0,1.0,0.0672447160682455,0,0,1
7.0,3.98708288482239,30.0,24.0,0.6666666666666666,9.0,90.0,17.0,1.0,0.2750369238604532,0,0,1
8.0,4.0,17.0,8.0,0.6166666666666667,7.0,77.0,17.0,1.0,-0.185280536457007,0,0,1
9.0,3.647193585337915,6.0,1.0,0.4333333333333333,13.0,66.0,17.0,1.0,-0.119921059332824,0,0,0
16.0,3.3173076923076925,6.0,13.0,0.0333333333333333,7.0,66.0,17.0,1.0,-0.1972369176717003,0,0,1
20.0,0.1333333333333333,30.0,5.0,0.85,0.0,90.0,17.0,0.1333333333333333,0.1663994459646633,0,0,1
22.0,1.0,30.0,8.0,0.35,4.0,90.0,17.0,1.0,-0.1972369176717003,0,1,0
2.0,4.479843953185956,15.0,3.0,0.45,4.0,90.0,17.0,1.0,-0.1972369176717003,1,1,0
4.0,3.944900351699883,15.0,3.0,0.3333333333333333,4.0,90.0,17.0,1.0,0.063632647545691,1,1,0
5.0,4.053030303030303,15.0,11.0,0.45,6.0,90.0,17.0,1.0,0.4027630823282997,1,1,0
6.0,4.963636363636364,0.0,3.0,0.3666666666666666,12.0,75.0,17.0,1.0,-0.0049292253640079,1,0,0
7.0,4.137542277339347,12.0,5.0,0.6333333333333333,12.0,87.0,17.0,1.0,-0.1972369176717003,1,0,1
10.0,3.811881188118812,15.0,2.0,0.4833333333333333,4.0,90.0,17.0,1.0,0.3583186378838553,1,0,1
15.0,4.124493927125505,5.0,4.0,1.0,19.0,80.0,17.0,1.0,-0.1972369176717003,1,0,1
18.0,4.584257206208426,12.0,4.0,0.7333333333333333,6.0,87.0,17.0,1.0,0.0,1,0,1
21.0,3.583617747440273,15.0,5.0,0.0266666666666666,7.0,90.0,17.0,1.0,0.0,1,1,0
22.0,4.186851211072664,5.0,7.0,0.3333333333333333,4.0,80.0,17.0,1.0,-0.2959544695071011,1,0,1
2.0,4.066455696202532,15.0,12.0,0.2933333333333333,20.0,90.0,17.0,1.0,0.0373788638262322,0,1,0
3.0,3.799303944315546,15.0,1.0,0.3733333333333333,4.0,90.0,17.0,1.0,0.0790455304928989,0,1,0
5.0,4.414694894146949,15.0,0.0,0.7466666666666667,5.0,90.0,17.0,0.0,-0.1292878028404344,0,1,0
6.0,4.382785956964892,15.0,22.0,0.6666666666666666,5.0,90.0,17.0,1.0,0.1250981620718462,0,0,1
7.0,3.584499461786868,15.0,24.0,0.5333333333333333,9.0,90.0,17.0,1.0,0.1326169590643274,0,0,1
8.0,3.957883369330454,2.0,8.0,0.88,8.0,77.0,17.0,1.0,0.061188387635756,0,0,1
11.0,0.6666666666666666,15.0,13.0,0.64,3.0,90.0,17.0,0.6666666666666666,0.3040455304928989,0,0,1
19.0,0.6666666666666666,15.0,1.0,0.5733333333333334,1.0,90.0,17.0,0.6666666666666666,-0.1848433583959899,0,0,0
20.0,1.1333333333333333,15.0,5.0,0.4133333333333333,1.0,90.0,17.0,0.5666666666666667,-0.1292878028404344,0,0,1
22.0,1.881516587677725,15.0,8.0,0.0266666666666666,7.0,90.0,17.0,1.0,-0.3602699043875514,0,1,0
2.0,1.0,71.0,27.0,0.88,2.0,86.0,18.0,1.0,0.0243454802278331,1,1,0
3.0,1.0,75.0,29.0,0.3466666666666667,1.0,90.0,18.0,1.0,-0.3602699043875514,1,1,0
4.0,1.0,75.0,21.0,0.4,1.0,90.0,18.0,1.0,-0.3602699043875514,1,0,1
5.0,1.0,75.0,3.0,0.3466666666666667,0.0,90.0,18.0,1.0,-0.1010106451282922,1,1,0
6.0,1.0,75.0,3.0,0.44,1.0,90.0,18.0,1.0,0.1691418603183309,1,1,0
7.0,1.0,75.0,42.0,0.36,1.0,90.0,18.0,1.0,-0.1816984758161229,1,0,1
10.0,1.0,48.0,23.0,1.5,0.0,63.0,18.0,1.0,0.1397300956124485,1,0,0
11.0,1.0,71.0,45.0,0.8,0.0,86.0,18.0,1.0,0.6397300956124485,1,0,1
14.0,1.0,75.0,21.0,0.8823529411764706,2.0,90.0,18.0,1.0,0.0841745400568929,1,0,1
17.0,1.0,48.0,32.0,0.8,2.0,63.0,18.0,1.0,0.3063967622791151,1,0,0
3.0,1.0,31.0,14.0,0.0,0.0,46.0,19.0,1.0,0.0,0,1,0
5.0,1.0,75.0,15.0,0.6666666666666666,1.0,90.0,19.0,1.0,0.1956509539842872,0,0,1
6.0,1.0,75.0,9.0,0.6,0.0,90.0,19.0,1.0,-0.0293490460157127,0,1,0
7.0,1.0,46.0,27.0,0.5333333333333333,1.0,61.0,19.0,1.0,-0.0543490460157127,0,0,0
8.0,1.0,72.0,23.0,0.2666666666666666,1.0,87.0,19.0,1.0,0.0,0,0,1
9.0,1.0,75.0,29.0,0.4,4.0,90.0,19.0,1.0,-0.3182379349046016,0,0,0
11.0,1.0,75.0,22.0,0.7333333333333333,1.0,90.0,19.0,1.0,0.1539842873176206,0,1,0
16.0,1.0,47.0,8.0,0.6666666666666666,2.0,62.0,19.0,1.0,-0.0960157126823794,0,1,0
17.0,1.0,31.0,32.0,0.2,5.0,46.0,19.0,1.0,0.2070145903479236,0,0,1
19.0,1.0,75.0,28.0,0.8666666666666667,3.0,90.0,19.0,1.0,-0.4293490460157127,0,0,0
2.0,2.0,56.0,27.0,0.7333333333333333,3.0,86.0,18.0,1.0,0.3706509539842873,1,1,0
3.0,1.851941747572816,60.0,29.0,0.0,4.0,90.0,18.0,1.0,0.0,1,1,0
4.0,1.8565629228687417,60.0,21.0,0.1333333333333333,1.0,90.0,18.0,1.0,-0.3083333333333333,1,0,1
5.0,2.0,60.0,3.0,0.8,1.0,90.0,18.0,1.0,0.025,1,1,0
6.0,1.9973474801061009,60.0,3.0,0.1333333333333333,2.0,90.0,18.0,1.0,-0.3083333333333333,1,1,0
7.0,2.0,60.0,42.0,0.6666666666666666,3.0,90.0,18.0,1.0,0.1916666666666667,1,0,1
10.0,2.0,33.0,23.0,0.7333333333333333,1.0,63.0,18.0,1.0,0.6916666666666667,1,0,0
11.0,2.0,56.0,45.0,0.8666666666666667,0.0,86.0,18.0,1.0,0.1916666666666667,1,0,1
14.0,1.9139240506329112,60.0,21.0,0.4,5.0,90.0,18.0,1.0,0.1916666666666667,1,0,1
17.0,1.915611814345992,33.0,32.0,0.6,4.0,63.0,18.0,1.0,-0.3083333333333333,1,0,0
3.0,2.0,16.0,14.0,1.3333333333333333,1.0,46.0,19.0,1.0,-0.3083333333333333,0,1,0
5.0,1.943012211668928,60.0,15.0,0.8666666666666667,1.0,90.0,19.0,1.0,-0.0583333333333332,0,0,1
6.0,2.0,60.0,9.0,0.0,0.0,90.0,19.0,1.0,0.0,0,1,0
7.0,1.7088122605363985,31.0,27.0,0.6,1.0,61.0,19.0,1.0,0.0472338935574229,0,0,0
8.0,1.8176795580110496,57.0,23.0,0.8666666666666667,1.0,87.0,19.0,1.0,0.1742180205415499,0,0,1
9.0,1.908745247148289,60.0,29.0,0.6,5.0,90.0,19.0,1.0,-0.0063375350140056,0,0,0
11.0,2.0,60.0,22.0,0.3,3.0,90.0,19.0,1.0,-0.3813375350140056,0,1,0
16.0,1.890560875512996,32.0,8.0,0.3666666666666666,2.0,62.0,19.0,1.0,-0.2980042016806723,0,1,0
17.0,1.8978829389788296,16.0,32.0,0.7,6.0,46.0,19.0,1.0,0.2068977591036414,0,0,1
19.0,2.0,60.0,28.0,0.6666666666666666,5.0,90.0,19.0,1.0,0.0631069094304387,0,0,0
2.0,2.608856088560885,41.0,27.0,0.3666666666666666,3.0,86.0,18.0,1.0,0.2068977591036414,1,1,0
3.0,2.858009708737864,45.0,29.0,0.8333333333333334,5.0,90.0,18.0,1.0,-0.3813375350140056,1,1,0
4.0,2.8741542625169147,45.0,21.0,0.6,1.0,90.0,18.0,1.0,0.3686624649859943,1,0,1
5.0,3.0,45.0,3.0,0.0333333333333333,2.0,90.0,18.0,1.0,0.0,1,1,0
6.0,3.0,45.0,3.0,0.1666666666666666,4.0,90.0,18.0,1.0,-0.2698412698412699,1,1,0
7.0,2.967625899280576,45.0,42.0,0.6333333333333333,4.0,90.0,18.0,1.0,-0.1031746031746032,1,0,1
10.0,3.0,18.0,23.0,0.1333333333333333,2.0,63.0,18.0,1.0,-0.2698412698412699,1,0,0
11.0,3.0,41.0,45.0,0.5333333333333333,4.0,86.0,18.0,1.0,0.4801587301587301,1,0,1
14.0,3.0,45.0,21.0,0.6,9.0,90.0,18.0,1.0,0.3301587301587301,1,0,1
17.0,3.0,18.0,32.0,0.6333333333333333,8.0,63.0,18.0,1.0,0.1468253968253968,1,0,0
3.0,3.0,1.0,14.0,0.4666666666666667,2.0,46.0,19.0,1.0,0.1301587301587301,0,1,0
5.0,2.9226594301221165,45.0,15.0,0.5,2.0,90.0,19.0,1.0,-0.126984126984127,0,0,1
6.0,3.0,45.0,9.0,1.1333333333333333,0.0,90.0,19.0,1.0,-0.2698412698412699,0,1,0
7.0,3.0,16.0,27.0,0.7333333333333333,3.0,61.0,19.0,1.0,-0.0476190476190476,0,0,0
8.0,2.983425414364641,42.0,23.0,0.0222222222222222,2.0,87.0,19.0,1.0,-0.3067542907131008,0,0,1
9.0,2.96958174904943,45.0,29.0,0.6222222222222222,7.0,90.0,19.0,1.0,0.0932457092868992,0,0,0
11.0,2.8233128834355825,45.0,22.0,0.7777777777777778,4.0,90.0,19.0,1.0,0.1099123759535659,0,1,0
16.0,3.0,17.0,8.0,0.6,5.0,62.0,19.0,1.0,0.0090351829711097,0,1,0
17.0,3.0,1.0,32.0,0.3777777777777777,8.0,46.0,19.0,1.0,-0.3067542907131008,0,0,1
19.0,2.924743443557583,45.0,28.0,0.4444444444444444,7.0,90.0,19.0,1.0,-0.2400876240464341,0,0,0
2.0,4.0,26.0,27.0,0.6888888888888889,4.0,86.0,18.0,1.0,0.1732457092868992,1,1,0
3.0,3.980582524271844,30.0,29.0,0.6666666666666666,9.0,90.0,18.0,1.0,0.0778610939022838,1,1,0
4.0,3.2638700947225985,30.0,21.0,0.6,1.0,90.0,18.0,1.0,0.2646742807154706,1,0,1
5.0,3.4538922155688625,30.0,3.0,0.8888888888888888,2.0,90.0,18.0,1.0,-0.3067542907131008,1,1,0
6.0,4.0,30.0,3.0,0.6888888888888889,5.0,90.0,18.0,1.0,0.4323761440695078,1,1,0
7.0,3.7985611510791366,30.0,42.0,0.0222222222222222,7.0,90.0,18.0,1.0,0.0,1,0,1
10.0,3.688679245283019,3.0,23.0,0.2444444444444444,5.0,63.0,18.0,1.0,-0.2731329781329781,1,0,0
11.0,3.5561357702349867,26.0,45.0,0.5555555555555556,4.0,86.0,18.0,1.0,-0.0913147963147963,1,0,1
14.0,3.758323057953144,30.0,21.0,0.2222222222222222,11.0,90.0,18.0,1.0,-0.2731329781329781,1,0,1
17.0,3.3117831074035458,3.0,32.0,0.5333333333333333,12.0,63.0,18.0,1.0,0.4768670218670218,1,0,0
5.0,4.0,30.0,15.0,0.5111111111111111,4.0,90.0,19.0,1.0,0.1114824064824064,0,0,1
6.0,4.0,30.0,9.0,0.6,1.0,90.0,19.0,1.0,0.1554384504384504,0,1,0
7.0,3.768250289687138,1.0,27.0,0.6,4.0,61.0,19.0,1.0,0.0602003552003551,0,0,0
8.0,3.895027624309392,27.0,23.0,0.5555555555555556,2.0,87.0,19.0,1.0,-0.0731329781329781,0,0,1
9.0,3.858048162230672,30.0,29.0,0.9777777777777776,8.0,90.0,19.0,1.0,-0.0509107559107559,0,0,0
10.0,1.0,30.0,9.0,0.6888888888888889,2.0,90.0,19.0,1.0,-0.0423637473637473,0,0,0
11.0,3.877300613496932,30.0,22.0,0.0166666666666666,5.0,90.0,19.0,1.0,-0.3229814162022399,0,1,0
16.0,3.714609286523216,2.0,8.0,0.55,8.0,62.0,19.0,1.0,0.0980712153767073,0,1,0
19.0,3.6989737742303306,30.0,28.0,0.75,8.0,90.0,19.0,1.0,0.11451858379776,0,0,0
20.0,1.0,30.0,1.0,0.5,1.0,90.0,19.0,1.0,-0.0229814162022399,0,0,1
2.0,4.516324062877872,11.0,27.0,0.35,6.0,86.0,18.0,1.0,-0.3229814162022399,1,1,0
3.0,4.617718446601941,15.0,29.0,0.4333333333333333,11.0,90.0,18.0,1.0,-0.2703498372548715,1,1,0
4.0,4.533152909336942,15.0,21.0,0.6666666666666666,1.0,90.0,18.0,1.0,0.1955371023162785,1,0,1
5.0,4.167664670658683,15.0,3.0,0.6833333333333333,2.0,90.0,18.0,1.0,0.1436852504644267,1,1,0
6.0,3.99878640776699,15.0,3.0,0.5833333333333334,5.0,90.0,18.0,1.0,0.2422359751021078,1,1,0
7.0,5.0,15.0,42.0,0.9,12.0,90.0,18.0,1.0,-0.246058339279163,1,0,1
8.0,0.8666666666666667,15.0,9.0,0.7666666666666667,1.0,90.0,18.0,0.8666666666666666,0.3913042980834743,1,0,1
9.0,0.8666666666666667,15.0,6.0,0.0166666666666666,1.0,90.0,18.0,0.8666666666666667,0.0,1,0,0
11.0,4.386422976501305,11.0,45.0,0.6166666666666667,4.0,86.0,18.0,1.0,-0.0907649368175683,1,0,1
14.0,4.96300863131936,15.0,21.0,0.2666666666666666,12.0,90.0,18.0,1.0,-0.257431603484235,1,0,1
2.0,0.9333333333333332,15.0,2.0,0.4833333333333333,3.0,90.0,19.0,0.9333333333333332,0.4925683965157649,0,1,0
5.0,4.289127837514934,15.0,15.0,0.4833333333333333,5.0,90.0,19.0,1.0,0.1636210280947123,0,0,1
6.0,4.166666666666667,15.0,9.0,0.5333333333333333,1.0,90.0,19.0,1.0,0.1971138510612194,0,1,0
8.0,4.205801104972376,12.0,23.0,0.5333333333333333,2.0,87.0,19.0,1.0,-0.257431603484235,0,0,1
9.0,4.765525982256021,15.0,29.0,0.5833333333333334,9.0,90.0,19.0,1.0,0.1271837811311496,0,0,0
10.0,1.9897172236503853,15.0,9.0,0.6333333333333333,4.0,90.0,19.0,1.0,-0.0907649368175683,0,0,0
11.0,3.969325153374233,15.0,22.0,0.65,5.0,90.0,19.0,1.0,-0.0266623727150042,0,1,0
18.0,1.0,15.0,1.0,0.6666666666666666,3.0,90.0,19.0,1.0,-0.257431603484235,0,0,0
19.0,4.11630558722919,15.0,28.0,0.0133333333333333,8.0,90.0,19.0,1.0,-0.3799469739379674,0,0,0
20.0,1.7775061124694376,15.0,1.0,0.5733333333333334,2.0,90.0,19.0,1.0,0.0815914876004941,0,0,1
2.0,1.0,75.0,4.0,0.7466666666666667,3.0,90.0,16.0,1.0,0.0937372365883483,1,1,0
3.0,1.0,75.0,2.0,0.4533333333333333,1.0,90.0,16.0,1.0,-0.0942326882236817,1,1,0
8.0,1.0,75.0,13.0,0.3466666666666667,3.0,90.0,16.0,1.0,-0.3799469739379674,1,0,1
9.0,1.0,49.0,4.0,0.3733333333333333,2.0,64.0,16.0,1.0,-0.334492428483422,1,0,0
10.0,1.0,49.0,5.0,0.7733333333333333,2.0,64.0,16.0,1.0,0.0906412613561502,1,0,1
14.0,1.0,49.0,3.0,0.6923076923076923,3.0,64.0,16.0,1.0,0.2200530260620325,1,1,0
15.0,1.0,75.0,2.0,0.6923076923076923,4.0,90.0,16.0,1.0,0.6200530260620325,1,1,0
16.0,1.0,75.0,6.0,0.5333333333333333,2.0,90.0,16.0,1.0,0.2271958832048896,1,0,1
17.0,1.0,67.0,7.0,0.7733333333333333,4.0,82.0,16.0,1.0,-0.1446528562909086,1,0,1
18.0,1.0,75.0,11.0,0.0133333333333333,5.0,90.0,16.0,1.0,0.0,1,1,0
4.0,1.0,75.0,2.0,0.7857142857142857,2.0,90.0,19.0,1.0,-0.2059862196626902,0,1,0
6.0,1.0,51.0,3.0,0.56,1.0,66.0,19.0,1.0,-0.0521400658165364,0,0,1
7.0,1.0,65.0,7.0,0.2533333333333333,2.0,80.0,19.0,1.0,-0.2059862196626902,0,0,0
9.0,1.0,75.0,5.0,0.4133333333333333,2.0,90.0,19.0,1.0,0.1940137803373097,0,0,0
10.0,1.0,75.0,3.0,0.5066666666666667,3.0,90.0,19.0,1.0,0.2485592348827642,0,0,1
15.0,1.0,75.0,4.0,0.6333333333333333,0.0,90.0,19.0,1.0,0.2940137803373097,0,1,0
16.0,1.0,75.0,11.0,0.5066666666666667,2.0,90.0,19.0,1.0,0.1690137803373097,0,1,0
17.0,1.0,65.0,5.0,0.6666666666666666,2.0,80.0,19.0,1.0,-0.2059862196626902,0,0,1
18.0,1.0,75.0,14.0,0.6266666666666667,2.0,90.0,19.0,1.0,-0.0295156314273961,0,1,0
20.0,1.0,51.0,9.0,0.6333333333333333,6.0,66.0,19.0,1.0,-0.2059862196626902,0,0,0
2.0,2.0,60.0,4.0,0.0,4.0,90.0,16.0,1.0,-0.2272727272727272,1,1,0
3.0,1.6635071090047393,60.0,2.0,0.4666666666666667,2.0,90.0,16.0,1.0,-0.2272727272727272,1,1,0
8.0,1.746928746928747,60.0,13.0,0.2666666666666666,3.0,90.0,16.0,1.0,-0.2272727272727272,1,0,1
9.0,1.8033635187580848,34.0,4.0,1.0,2.0,64.0,16.0,1.0,-0.2272727272727272,1,0,0
10.0,1.8673469387755104,34.0,5.0,0.7333333333333333,3.0,64.0,16.0,1.0,-0.2272727272727272,1,0,1
14.0,2.0,34.0,3.0,0.7333333333333333,5.0,64.0,16.0,1.0,-0.2272727272727272,1,1,0
15.0,1.7898305084745765,60.0,2.0,1.0,7.0,90.0,16.0,1.0,0.7727272727272727,1,1,0
16.0,2.0,60.0,6.0,0.9333333333333332,5.0,90.0,16.0,1.0,-0.2272727272727272,1,0,1
17.0,1.9451152579582875,52.0,7.0,1.2,5.0,82.0,16.0,1.0,0.2727272727272727,1,0,1
18.0,1.5141463414634146,60.0,11.0,0.8666666666666667,9.0,90.0,16.0,1.0,0.7727272727272727,1,1,0
4.0,1.567701863354037,60.0,2.0,1.0,2.0,90.0,19.0,1.0,-0.2272727272727272,0,1,0
6.0,2.0,36.0,3.0,0.6,4.0,66.0,19.0,1.0,-0.15,0,0,1
7.0,2.0,50.0,7.0,0.3333333333333333,5.0,80.0,19.0,1.0,0.1,0,0,0
9.0,2.0,60.0,5.0,0.7333333333333333,4.0,90.0,19.0,1.0,0.35,0,0,0
10.0,1.8091872791519432,60.0,3.0,0.8666666666666667,6.0,90.0,19.0,1.0,-0.15,0,0,1
15.0,2.0,60.0,4.0,0.7333333333333333,1.0,90.0,19.0,1.0,-0.15,0,1,0
16.0,1.4125412541254123,60.0,11.0,0.2,2.0,90.0,19.0,1.0,-0.15,0,1,0
17.0,1.9886877828054297,50.0,5.0,0.6,5.0,80.0,19.0,1.0,-0.15,0,0,1
18.0,1.6013745704467353,60.0,14.0,0.6,2.0,90.0,19.0,1.0,0.35,0,1,0
20.0,2.0,36.0,9.0,0.6,10.0,66.0,19.0,1.0,-0.15,0,0,0
2.0,2.554945054945055,45.0,4.0,1.2666666666666666,5.0,90.0,16.0,1.0,0.25,1,1,0
3.0,2.889810426540285,45.0,2.0,0.0666666666666666,3.0,90.0,16.0,1.0,-0.15,1,1,0
