top_third_pass_share,forward_pass_share_D,cumul_sprints,jersey_number,cumul_passes_M
0.0,0.0,4,5,0.0
0.3611111111111111,0.0,4,6,36.0
0.6,0.0,7,7,25.0
0.1860465116279069,0.0,5,8,43.0
0.1666666666666666,0.0,9,9,0.0
0.2903225806451613,0.0,1,10,31.0
0.5217391304347826,0.0,7,16,23.0
0.16,0.4,8,18,0.0
0.0232558139534883,0.4285714285714285,4,2,0.0
0.0,0.0,4,4,0.0
0.24,0.3333333333333333,5,5,0.0
0.2857142857142857,0.0,10,6,0.0
0.2857142857142857,0.0,11,7,14.0
0.1111111111111111,0.0,4,10,18.0
0.3,0.0,16,15,10.0
0.375,0.0,4,18,8.0
0.1666666666666666,0.0,7,21,0.0
0.15625,0.0,3,22,32.0
0.2105263157894736,0.5,16,2,0.0
0.0,0.4615384615384615,4,3,0.0
0.0,0.0,5,5,0.0
0.3421052631578947,0.0,4,6,38.0
0.5483870967741935,0.0,9,7,31.0
0.1454545454545454,0.0,7,8,55.0
0.1111111111111111,0.0,13,9,0.0
0.4814814814814814,0.0,7,16,27.0
0.0,0.0,0,20,2.0
0.1666666666666666,0.0,4,22,0.0
0.0217391304347826,0.4285714285714285,4,2,0.0
0.0,0.0,4,4,0.0
0.25,0.3333333333333333,6,5,0.0
0.3,0.0,12,6,0.0
0.2777777777777778,0.0,12,7,18.0
0.0952380952380952,0.0,4,10,21.0
0.3076923076923077,0.0,19,15,13.0
0.4,0.0,6,18,10.0
0.16,0.0,7,21,0.0
0.1891891891891892,0.0,4,22,37.0
0.2391304347826087,0.4444444444444444,20,2,0.0
0.0,0.4615384615384615,4,3,0.0
0.0,0.3333333333333333,5,5,0.0
0.3260869565217391,0.0,5,6,46.0
0.5405405405405406,0.0,9,7,37.0
0.125,0.0,8,8,64.0
0.7,0.0,3,11,10.0
0.0,0.0,1,19,0.0
0.4444444444444444,0.0,1,20,9.0
0.3333333333333333,0.5,7,22,0.0
0.375,0.0,2,2,0.0
0.4736842105263157,0.0,1,3,0.0
0.2608695652173913,0.0,1,4,23.0
0.05,0.0,0,5,0.0
0.0333333333333333,0.4285714285714285,1,6,0.0
0.4615384615384615,0.0,1,7,26.0
0.5833333333333334,0.0,0,10,0.0
0.6071428571428571,0.0,0,11,28.0
0.3888888888888889,0.0,2,14,18.0
0.6086956521739131,0.0,2,17,0.0
0.0833333333333333,1.0,0,3,0.0
0.3636363636363636,0.0,1,5,11.0
0.0625,0.0,0,6,0.0
0.2083333333333333,0.0,1,7,0.0
0.5,0.0,1,8,10.0
0.2857142857142857,0.0,4,9,0.0
0.2307692307692307,0.0,1,11,0.0
0.0,0.0,2,16,0.0
0.3684210526315789,0.0,5,17,19.0
0.3333333333333333,0.0,3,19,0.0
0.325,0.0,3,2,0.0
0.5483870967741935,0.125,4,3,0.0
0.2608695652173913,0.0,1,4,46.0
0.0697674418604651,0.0,1,5,0.0
0.0666666666666666,0.5,2,6,0.0
0.5609756097560976,0.0,3,7,41.0
0.5454545454545454,0.0,1,10,0.0
0.6226415094339622,0.0,0,11,53.0
0.375,0.0,5,14,32.0
0.65,0.0,4,17,0.0
0.05,1.0,1,3,0.0
0.1818181818181818,0.0,1,5,22.0
0.0333333333333333,0.25,0,6,0.0
0.2954545454545454,0.0,1,7,0.0
0.24,0.0,1,8,25.0
0.2413793103448276,0.0,5,9,0.0
0.1515151515151515,0.0,3,11,0.0
0.0975609756097561,1.0,2,16,0.0
0.3823529411764705,0.0,6,17,34.0
0.217391304347826,0.0,5,19,0.0
0.2153846153846154,0.0909090909090909,3,2,0.0
0.3695652173913043,0.1111111111111111,5,3,0.0
0.1857142857142857,0.0,1,4,70.0
0.0454545454545454,0.0,2,5,0.0
0.0461538461538461,0.5454545454545454,4,6,0.0
0.3676470588235294,0.0,4,7,68.0
0.3333333333333333,0.0,2,10,0.0
0.4285714285714285,0.0,4,11,84.0
0.2,0.0,9,14,65.0
0.5098039215686274,0.0,8,17,0.0
0.1136363636363636,1.0,2,3,0.0
0.2045454545454545,0.0,2,5,44.0
0.1578947368421052,0.2,0,6,0.0
0.3205128205128205,0.0,3,7,0.0
0.3137254901960784,0.0,2,8,51.0
0.3673469387755102,0.0,7,9,0.0
0.2333333333333333,0.5,4,11,0.0
0.1111111111111111,0.75,5,16,0.0
0.3285714285714285,0.0,8,17,70.0
0.3333333333333333,0.0,7,19,0.0
0.1777777777777777,0.0769230769230769,4,2,0.0
0.3442622950819672,0.25,9,3,0.0
0.1860465116279069,0.0,1,4,86.0
0.0375,0.2,2,5,0.0
0.0394736842105263,0.5454545454545454,5,6,0.0
0.358974358974359,0.0,7,7,78.0
0.3285714285714285,0.0,5,10,0.0
0.39,0.0,4,11,100.0
0.1728395061728395,0.0,11,14,81.0
0.4571428571428571,0.0,12,17,0.0
0.238095238095238,0.0,4,5,63.0
0.12,0.2857142857142857,1,6,0.0
0.3375,0.0,4,7,0.0
0.3235294117647059,0.0,2,8,68.0
0.4137931034482758,0.0,8,9,0.0
0.0,0.0,2,10,0.0
0.2179487179487179,0.3333333333333333,5,11,0.0
0.0963855421686747,0.6666666666666666,8,16,0.0
0.4,0.0,8,19,0.0
0.0,0.0,1,20,4.0
0.2293577981651376,0.125,6,2,0.0
0.3380281690140845,0.2307692307692307,11,3,0.0
0.1684210526315789,0.0,1,4,95.0
0.0352941176470588,0.4285714285714285,2,5,0.0
0.0357142857142857,0.6153846153846154,5,6,0.0
0.3516483516483517,0.0,12,7,91.0
0.5,0.0,1,8,10.0
1.0,0.0,1,9,0.0
0.3963963963963964,0.0,4,11,111.0
0.2087912087912088,0.0,12,14,91.0
0.0,1.0,3,2,0.0
0.2054794520547945,0.0,5,5,73.0
0.1097560975609756,0.2857142857142857,1,6,0.0
0.2894736842105263,0.0,2,8,76.0
0.4,0.0,9,9,0.0
0.1666666666666666,0.0,4,10,0.0
0.2150537634408602,0.5,5,11,0.0
0.1666666666666666,0.0,3,18,0.0
0.3818181818181818,0.0,8,19,0.0
0.0,0.0,2,20,10.0
0.0,0.0,3,2,0.0
0.0,1.0,1,3,0.0
0.3333333333333333,0.0,3,8,9.0
0.0,0.0,2,9,0.0
0.5,0.0,2,10,2.0
1.0,1.0,3,14,0.0
0.0,0.0,4,15,0.0
0.1666666666666666,0.0,2,16,6.0
0.6666666666666666,0.0,4,17,3.0
0.0,1.0,5,18,0.0
0.0,0.0,2,4,0.0
0.0,0.0,1,6,4.0
0.5,0.0,2,7,0.0
0.0,0.0,2,9,0.0
0.0,0.0,3,10,5.0
0.0,1.0,0,15,0.0
0.0454545454545454,0.0,2,16,0.0
0.6666666666666666,0.0,2,17,3.0
0.0909090909090909,0.2,2,18,0.0
0.5,0.0,6,20,0.0
0.05,0.6666666666666666,4,2,0.0
0.0,0.75,2,3,0.0
0.2222222222222222,0.0,3,8,18.0
0.6,0.0,2,9,0.0
0.2857142857142857,0.0,3,10,7.0
0.25,1.0,5,14,0.0
0.1176470588235294,0.6,7,15,0.0
0.1818181818181818,0.0,5,16,11.0
0.375,0.0,5,17,8.0
0.0909090909090909,1.0,9,18,0.0
0.0,0.0,2,4,0.0
0.2222222222222222,0.0,4,6,9.0
0.6,0.0,5,7,0.0
0.1666666666666666,0.0,4,9,0.0
0.0,0.0,6,10,14.0
0.0285714285714285,0.75,1,15,0.0
0.0606060606060606,0.1,2,16,0.0
0.75,0.0,5,17,4.0
0.1428571428571428,0.2222222222222222,2,18,0.0
0.375,0.0,10,20,0.0
0.0416666666666666,0.6666666666666666,5,2,0.0
0.0,0.6,3,3,0.0
0.1818181818181818,0.0,4,8,22.0
0.5,0.0,2,9,0.0
0.2307692307692307,0.0,4,10,13.0
0.2,0.5,8,14,0.0
0.08,0.375,9,15,0.0
0.1333333333333333,0.0,7,16,15.0
0.4444444444444444,0.0,7,17,9.0
0.0666666666666666,0.6,15,18,0.0
0.0192307692307692,0.0,2,4,0.0
0.1333333333333333,0.0,5,6,15.0
0.4444444444444444,0.0,6,7,0.0
0.1428571428571428,0.0,8,9,0.0
0.05,0.0,7,10,20.0
0.0666666666666666,0.6,1,15,0.0
0.1395348837209302,0.1538461538461538,2,16,0.0
0.5714285714285714,0.0,11,17,7.0
0.15625,0.3846153846153846,3,18,0.0
0.5454545454545454,0.0,15,20,0.0
0.0357142857142857,0.6666666666666666,5,2,0.0
0.0625,0.5,4,3,0.0
0.2368421052631578,0.0,4,8,38.0
0.3636363636363636,0.0,3,9,0.0
0.2941176470588235,0.0,7,10,17.0
0.15,0.3333333333333333,10,14,0.0
0.054054054054054,0.4444444444444444,14,15,0.0
0.16,0.0,9,16,25.0
0.3846153846153846,0.0,11,17,13.0
0.24,0.4285714285714285,17,18,0.0
0.032258064516129,0.0,4,4,0.0
0.15,0.0,6,6,20.0
0.5454545454545454,0.0,10,7,0.0
0.25,0.0,16,9,0.0
0.0416666666666666,0.0,7,10,24.0
0.0566037735849056,0.6,3,15,0.0
0.1724137931034483,0.2,6,16,0.0
0.4444444444444444,0.0,11,17,9.0
0.1428571428571428,0.3157894736842105,4,18,0.0
0.6428571428571429,0.0,18,20,0.0
0.0967741935483871,0.8,6,2,0.0
0.0571428571428571,0.5,4,3,0.0
0.5,0.0,5,7,0.0
0.275,0.0,4,8,40.0
0.048780487804878,0.4,15,15,0.0
0.1785714285714285,0.0,9,16,28.0
0.4285714285714285,0.0,13,17,14.0
0.2857142857142857,0.4285714285714285,17,18,0.0
0.6666666666666666,0.0,0,20,0.0
0.0,0.0,3,21,0.0
0.0303030303030303,0.3333333333333333,4,4,0.0
0.5833333333333334,0.0,12,7,0.0
0.0,0.0,0,8,2.0
0.3,0.0,20,9,0.0
0.0384615384615384,0.0,7,10,26.0
0.0,0.0,1,11,0.0
0.0535714285714285,0.6,3,15,0.0
0.1587301587301587,0.2,6,16,0.0
0.5,0.0,12,17,10.0
0.1395348837209302,0.3157894736842105,4,18,0.0
0.1,0.0,2,2,0.0
0.0,0.0,2,3,0.0
0.0,0.0,1,4,0.0
0.0769230769230769,1.0,0,5,0.0
0.0666666666666666,0.0,1,6,15.0
0.0,0.0,3,7,6.0
0.0,0.0,0,8,1.0
0.5,0.0,3,11,0.0
0.6,0.0,5,17,0.0
0.25,0.0,5,21,0.0
0.0,0.0,1,2,0.0
0.5454545454545454,0.0,3,3,0.0
0.0,0.0,4,4,0.0
0.3333333333333333,1.0,1,5,0.0
0.0,0.0,0,7,1.0
0.6,0.0,2,8,5.0
0.6666666666666666,0.0,2,9,0.0
0.7777777777777778,0.0,0,10,9.0
0.2307692307692307,0.0,3,19,13.0
0.3076923076923077,0.0,1,20,13.0
0.1111111111111111,0.0,3,2,0.0
0.0,0.0,2,3,0.0
0.0303030303030303,0.0,1,4,0.0
0.1875,1.0,0,5,0.0
0.0434782608695652,0.0,1,6,23.0
0.0952380952380952,0.0,5,7,21.0
0.1666666666666666,0.0,1,8,6.0
0.5,0.0,6,11,0.0
0.4375,0.0,8,17,0.0
0.2857142857142857,0.0,9,21,0.0
0.0,0.0,3,2,0.0
0.4666666666666667,0.5,6,3,0.0
0.0,1.0,7,4,0.0
0.1428571428571428,0.6666666666666666,6,5,0.0
0.3333333333333333,0.0,1,7,6.0
0.2727272727272727,0.0,3,8,11.0
0.6666666666666666,0.0,3,9,0.0
0.6363636363636364,0.0,2,10,11.0
0.1304347826086956,0.0,5,19,23.0
0.2,0.0,1,20,20.0
0.1395348837209302,0.25,3,2,0.0
0.0,0.0,2,3,0.0
0.0232558139534883,0.0,1,4,0.0
0.1818181818181818,1.0,2,5,0.0
0.0606060606060606,0.0,3,6,33.0
0.1724137931034483,0.0,7,7,29.0
0.125,0.0,5,8,8.0
0.3333333333333333,0.0,8,11,0.0
0.4117647058823529,0.0,12,17,0.0
0.3157894736842105,0.0,13,21,0.0
0.0,1.0,6,2,0.0
0.45,0.5,8,3,0.0
0.1282051282051282,1.0,8,4,0.0
0.3157894736842105,0.5,6,5,0.0
0.4545454545454545,0.0,3,7,11.0
0.3529411764705882,0.0,4,8,17.0
0.5,0.0,5,9,0.0
0.6666666666666666,0.0,5,10,15.0
0.1071428571428571,0.0,6,19,28.0
0.2142857142857142,0.0,3,20,28.0
0.1458333333333333,0.25,3,2,0.0
0.0,0.0,2,3,0.0
0.0444444444444444,0.0,2,4,0.0
0.05,0.0,4,6,40.0
0.2631578947368421,0.0,11,7,38.0
0.0909090909090909,0.0,5,8,11.0
0.3333333333333333,0.0,14,11,0.0
0.2,0.0,1,13,0.0
0.4761904761904761,0.0,14,17,0.0
0.3,0.0,16,21,0.0
0.0638297872340425,0.3333333333333333,10,2,0.0
0.4864864864864865,0.375,12,3,0.0
0.087719298245614,0.75,10,4,0.0
0.3076923076923077,0.6666666666666666,7,5,0.0
0.5,0.0,4,7,16.0
0.3809523809523809,0.0,5,8,21.0
0.4,0.0,6,9,0.0
0.5238095238095238,0.0,7,10,21.0
0.0769230769230769,0.0,9,19,39.0
0.2,0.0,6,20,40.0
0.1923076923076923,0.25,4,2,0.0
0.0,0.0,2,3,0.0
0.0425531914893617,0.0,2,4,0.0
0.1886792452830188,0.0,7,6,53.0
0.2653061224489796,0.0,11,7,49.0
0.1538461538461538,0.0,5,8,13.0
0.375,0.0,16,11,0.0
0.4375,0.0,5,13,0.0
0.8888888888888888,0.0,3,20,0.0
0.2,0.0,4,23,0.0
0.0727272727272727,0.25,13,2,0.0
0.4583333333333333,0.4444444444444444,15,3,0.0
0.1159420289855072,0.75,11,4,0.0
0.3513513513513513,0.6,8,5,0.0
0.5238095238095238,0.0,6,7,21.0
0.3928571428571428,0.0,9,8,28.0
0.5172413793103449,0.0,8,10,29.0
0.1176470588235294,0.0,12,19,51.0
0.25,0.0,7,20,48.0
0.3333333333333333,0.0,3,22,0.0
0.0,1.0,0,2,0.0
0.0,0.0,2,3,0.0
0.0,0.0,3,6,1.0
1.0,0.0,0,7,0.0
0.0,0.0,0,8,6.0
0.5,0.0,2,11,2.0
0.0,0.0,2,15,7.0
0.0,0.0,2,18,1.0
0.0,0.0,3,21,0.0
0.1666666666666666,0.0,2,22,0.0
0.375,0.0,1,2,0.0
0.0,0.0,0,3,0.0
0.0909090909090909,0.2857142857142857,0,4,0.0
0.1428571428571428,0.0,3,5,7.0
0.2,0.0,3,6,5.0
0.7142857142857143,0.0,2,7,0.0
1.0,0.0,2,9,0.0
0.6666666666666666,0.0,2,10,6.0
0.375,0.0,2,11,0.0
0.3636363636363636,0.6666666666666666,4,15,0.0
0.0,1.0,0,2,0.0
0.0,0.5,2,3,0.0
0.2222222222222222,0.0,4,6,9.0
1.0,0.0,3,7,0.0
0.1428571428571428,0.0,4,8,7.0
0.25,0.0,6,11,4.0
0.1111111111111111,0.0,3,15,9.0
0.5,0.0,9,18,2.0
0.0,0.0,4,21,0.0
0.125,0.0,4,22,0.0
0.2142857142857142,0.0,6,2,0.0
0.0,0.2,2,3,0.0
0.125,0.2222222222222222,1,4,0.0
0.1875,0.0,6,5,16.0
0.2307692307692307,0.0,3,6,13.0
0.4545454545454545,0.0,3,7,0.0
0.5,0.0,4,9,0.0
0.75,0.0,4,10,12.0
0.5714285714285714,0.0,3,11,0.0
0.5454545454545454,0.6666666666666666,8,15,0.0
0.0,1.0,0,2,0.0
0.2,0.0,4,6,15.0
0.375,0.0,4,7,0.0
0.1428571428571428,0.0,4,8,14.0
0.3333333333333333,0.0,7,11,9.0
0.2,0.0,4,15,15.0
0.25,0.0,13,18,4.0
0.0,1.0,4,21,0.0
0.2,0.5,4,22,0.0
0.2,0.5,8,2,0.0
0.0,0.4444444444444444,2,3,0.0
0.1509433962264151,0.1538461538461538,1,4,0.0
0.25,0.0,6,5,20.0
0.25,0.0,3,6,16.0
0.4705882352941176,0.0,3,7,0.0
0.4285714285714285,0.0,8,9,0.0
0.6,0.0,4,10,20.0
0.5882352941176471,0.0,4,11,0.0
0.5333333333333333,0.5833333333333334,10,15,0.0
0.0,1.0,1,2,0.0
0.25,0.625,4,3,0.0
0.2272727272727272,0.0,6,6,22.0
0.4545454545454545,0.0,4,7,0.0
0.2857142857142857,0.0,4,8,21.0
0.5333333333333333,0.0,8,11,15.0
0.1904761904761904,0.0,4,15,21.0
0.5,0.0,17,18,6.0
0.0,0.5,6,21,0.0
0.2272727272727272,0.6,4,22,0.0
0.2121212121212121,0.5,10,2,0.0
0.0,0.5,2,3,0.0
0.136986301369863,0.2,1,4,0.0
0.2692307692307692,0.0,7,5,26.0
0.5909090909090909,0.0,6,7,0.0
0.4444444444444444,0.0,12,9,0.0
0.4883720930232558,0.0,5,10,43.0
0.5833333333333334,0.0,6,11,0.0
0.5833333333333334,0.5384615384615384,10,15,0.0
0.8333333333333334,0.0,1,22,6.0
0.0,0.8,2,2,0.0
0.25,0.5555555555555556,5,3,0.0
0.2,0.0,7,6,25.0
0.0,0.0,1,13,0.0
0.0,0.0,0,14,0.0
0.24,0.0,4,15,25.0
0.5714285714285714,0.0,18,18,7.0
0.0,0.6666666666666666,9,21,0.0
0.2,0.6,6,22,0.0
0.2105263157894736,0.5,12,2,0.0
0.0,0.5454545454545454,2,3,0.0
0.119047619047619,0.3684210526315789,2,4,0.0
0.3103448275862069,0.0,7,5,29.0
0.3636363636363636,0.0,15,9,0.0
0.4814814814814814,0.0,5,10,54.0
0.5882352941176471,0.0,7,11,0.0
0.0,0.0,0,20,5.0
0.7272727272727273,0.0,2,22,11.0
0.0,0.0,1,20,0.0
0.5,0.0,3,17,0.0
0.0,0.0,5,2,0.0
0.1111111111111111,0.0,1,6,9.0
0.1666666666666666,0.0,1,8,12.0
0.5,0.0,3,9,4.0
0.0,0.0,5,11,0.0
0.0,0.0,5,14,0.0
0.0,0.0,3,15,0.0
0.0,0.5,3,16,0.0
0.5,0.0,2,21,2.0
0.6666666666666666,0.0,1,22,3.0
0.1428571428571428,0.0,2,2,0.0
0.0,1.0,1,3,0.0
0.0,0.5,3,4,0.0
0.0,0.0,1,5,7.0
0.4,0.0,3,6,5.0
0.6666666666666666,0.0,2,7,3.0
0.25,0.0,5,8,4.0
0.0,0.0,4,10,0.0
0.1666666666666666,0.0,2,11,6.0
0.0,0.0,1,13,0.0
0.0769230769230769,0.2222222222222222,7,2,0.0
0.1764705882352941,0.0,2,6,17.0
0.1428571428571428,0.0,2,8,14.0
0.5714285714285714,0.0,5,9,7.0
0.6666666666666666,0.0,7,11,0.0
0.0,0.3333333333333333,6,14,0.0
0.0625,0.3333333333333333,3,15,0.0
0.0,0.3333333333333333,3,16,0.0
0.75,0.0,3,21,4.0
0.4285714285714285,0.0,2,22,7.0
0.1,0.0,4,2,0.0
0.0,0.3333333333333333,2,3,0.0
0.0,0.3333333333333333,8,4,0.0
0.0,0.0,3,5,12.0
0.25,0.0,9,6,8.0
0.5714285714285714,0.0,5,7,7.0
0.2,0.0,6,8,5.0
0.0,0.0,5,10,0.0
0.1666666666666666,0.0,5,11,6.0
0.1818181818181818,0.5,4,13,0.0
0.1111111111111111,0.2222222222222222,8,2,0.0
0.1290322580645161,0.0,3,6,31.0
0.0909090909090909,0.0,4,8,22.0
0.3636363636363636,0.0,9,9,11.0
0.75,0.0,9,11,0.0
0.0,0.3333333333333333,7,14,0.0
0.0454545454545454,0.25,3,15,0.0
0.0,0.4,4,16,0.0
0.6,0.0,6,21,5.0
0.2727272727272727,0.0,3,22,11.0
0.1764705882352941,0.0,7,2,0.0
0.0,0.3333333333333333,4,3,0.0
0.0,0.4285714285714285,11,4,0.0
0.16,0.0,3,5,25.0
0.4285714285714285,0.0,16,6,14.0
0.7142857142857143,0.0,7,7,14.0
0.4166666666666667,0.0,7,8,12.0
0.0,0.0,9,10,0.0
0.2727272727272727,0.0,7,11,11.0
0.3157894736842105,0.4,6,13,0.0
0.2,0.2,9,2,0.0
0.131578947368421,0.0,4,6,38.0
0.2,0.0,7,8,35.0
0.4285714285714285,0.0,15,9,14.0
0.0,0.0,0,10,0.0
0.4285714285714285,0.0,10,11,0.0
0.0,0.5,8,14,0.0
0.0,0.4,4,16,0.0
0.7,0.0,7,21,10.0
0.375,0.0,4,22,16.0
0.1818181818181818,0.0,9,2,0.0
0.0,0.3333333333333333,4,3,0.0
0.0,0.4285714285714285,11,4,0.0
0.4666666666666667,0.0,17,6,15.0
0.7142857142857143,0.0,9,7,21.0
0.5,0.0,9,8,16.0
0.0,0.0,12,10,0.0
0.4827586206896552,0.5,8,13,0.0
0.5,0.0,1,17,4.0
1.0,0.0,0,20,4.0
0.1764705882352941,0.1818181818181818,13,2,0.0
0.1162790697674418,0.0,4,6,43.0
0.2105263157894736,0.0,9,8,38.0
0.5,0.0,2,10,2.0
0.375,0.0,12,11,0.0
0.0,1.0,1,13,0.0
0.0,0.4,11,14,0.0
0.0,0.5,5,16,0.0
0.0,0.0,0,17,10.0
0.6875,0.0,8,21,16.0
0.3333333333333333,0.1666666666666666,14,2,0.0
0.0,0.3333333333333333,5,3,0.0
0.0,0.4285714285714285,12,4,0.0
0.5,0.0,18,6,18.0
0.7307692307692307,0.0,9,7,26.0
0.6,0.0,10,8,20.0
0.0,0.0,1,9,0.0
0.4838709677419355,0.5,9,13,0.0
0.5555555555555556,0.0,2,17,9.0
0.8333333333333334,0.0,4,20,6.0
0.2857142857142857,1.0,4,2,0.0
0.3333333333333333,1.0,0,3,0.0
0.0,0.0,0,4,0.0
0.0,0.0,2,5,0.0
0.4545454545454545,0.0,0,6,11.0
0.3333333333333333,0.0,2,9,0.0
0.25,0.0,0,10,0.0
0.5714285714285714,0.0,2,17,7.0
0.3,0.0,0,18,10.0
0.7142857142857143,0.0,2,20,7.0
0.3333333333333333,0.0,1,2,6.0
0.0,0.6666666666666666,1,3,0.0
0.0,0.25,3,5,0.0
0.0,0.0,0,6,0.0
0.0,0.0,2,7,0.0
0.0,0.0,0,8,7.0
0.0,0.0,4,9,0.0
0.2857142857142857,0.0,2,10,0.0
0.0,0.0,1,18,2.0
0.0,0.0,0,19,2.0
0.3076923076923077,0.5,5,2,0.0
0.2857142857142857,0.5,3,3,0.0
0.05,0.5,1,4,0.0
0.0,0.0,3,5,0.0
0.3125,0.0,1,6,16.0
0.2,0.0,3,9,0.0
0.5555555555555556,0.0,1,10,0.0
0.5833333333333334,0.0,5,17,12.0
0.2222222222222222,0.0,1,18,18.0
0.5384615384615384,0.0,4,20,13.0
0.2857142857142857,0.0,3,2,14.0
0.0,0.75,2,3,0.0
0.0,0.2,4,5,0.0
0.0,0.4,1,6,0.0
0.2222222222222222,0.0,3,7,0.0
0.05,0.0,2,8,20.0
0.0,0.0,4,9,0.0
0.2941176470588235,0.0,3,10,0.0
0.2222222222222222,0.0,5,18,9.0
0.0,0.0,1,19,12.0
0.3333333333333333,0.5,5,2,0.0
0.0454545454545454,0.5,1,4,0.0
0.0588235294117647,0.5,6,5,0.0
0.2631578947368421,0.0,1,6,19.0
0.3333333333333333,0.0,3,9,0.0
0.6,0.0,2,10,0.0
0.5,0.0,6,17,14.0
0.2,0.0,1,18,20.0
0.5,0.0,5,20,14.0
0.3,0.0,3,2,20.0
0.0,0.75,3,3,0.0
0.0,0.2,5,5,0.0
0.0,0.4,1,6,0.0
0.2727272727272727,0.0,3,7,0.0
0.0416666666666666,0.0,2,8,24.0
0.6666666666666666,0.0,6,9,0.0
0.3076923076923077,0.0,4,10,0.0
0.3157894736842105,0.0,5,18,19.0
0.1052631578947368,0.0,1,19,19.0
0.2727272727272727,0.3333333333333333,7,2,0.0
0.2941176470588235,0.5,6,3,0.0
0.04,0.5,3,4,0.0
0.0434782608695652,0.5,6,5,0.0
0.2272727272727272,0.0,1,6,22.0
0.3333333333333333,0.0,6,9,0.0
0.5,0.0,3,10,0.0
0.6,0.0,10,17,20.0
0.2413793103448276,0.0,5,18,29.0
0.5,0.0,8,20,20.0
0.2142857142857142,0.0,4,2,28.0
0.0,0.8,6,3,0.0
0.0,0.1428571428571428,7,5,0.0
0.0,0.4,2,6,0.0
0.25,0.0,5,7,0.0
0.0909090909090909,0.0,3,8,44.0
0.6666666666666666,0.0,7,9,0.0
0.2571428571428571,0.0,5,10,0.0
0.2962962962962963,0.0,8,18,27.0
0.08,0.0,2,19,25.0
0.2142857142857142,0.7142857142857143,7,3,0.0
0.0344827586206896,0.25,4,4,0.0
0.04,0.5,7,5,0.0
0.2068965517241379,0.0,1,6,29.0
0.0,0.0,2,7,0.0
0.5,0.0,4,10,0.0
0.0,0.0,1,11,1.0
0.2424242424242424,0.0,6,18,33.0
0.0,0.0,5,19,1.0
0.2285714285714285,0.0,6,2,35.0
0.0175438596491228,0.8571428571428571,8,3,0.0
0.0,0.25,8,5,0.0
0.0,0.3333333333333333,3,6,0.0
0.0851063829787234,0.0,6,8,47.0
0.5,0.0,8,9,0.0
0.275,0.0,5,10,0.0
0.0,0.0,1,11,0.0
0.28125,0.0,13,18,32.0
0.1379310344827586,0.0,3,19,29.0
0.0,0.0,2,4,4.0
0.0,0.0,0,5,0.0
0.125,0.0,1,6,8.0
0.0,0.0,1,7,0.0
1.0,0.0,1,9,0.0
0.5,0.0,2,13,0.0
0.0,0.0,2,14,4.0
0.0,0.0,1,18,0.0
0.0909090909090909,0.0,2,19,0.0
0.3333333333333333,0.0,3,22,6.0
0.25,0.3,2,2,0.0
0.0,1.0,0,4,0.0
0.0,0.0,0,5,0.0
0.0833333333333333,0.0,1,8,12.0
1.0,0.0,3,9,0.0
0.25,0.0,2,10,4.0
0.0,0.0,4,11,4.0
0.0,1.0,1,14,0.0
0.4444444444444444,0.0,4,19,9.0
0.125,0.0,3,20,8.0
0.2222222222222222,0.0,4,4,9.0
0.0,0.0,1,5,0.0
0.0909090909090909,0.0,2,6,11.0
0.0,0.0,2,7,0.0
0.75,0.0,4,9,0.0
